id,job_key,job_name,company,title,location,category,tag,text
integrated_finance_accounting_solutions_ifas_information_system_security_officer_4334718780__overview__001,integrated_finance_accounting_solutions_ifas_information_system_security_officer_4334718780,Integrated Finance Accounting Solutions Ifas Information System Security Officer,Integrated Finance Accounting Solutions Ifas,Information System Security Officer,,overview,,"Department of State (DoS), Comptroller and Global Financial Services (CGFS), Chief Information Officer, Information Systems Security Office (CGFS/CIO/ISSO) requires the contractor to provide analytical and coordination support in the Information Systems Security Office (ISSO) as a Security Analyst in applying interrelationships of multiple Cybersecurity specialties"
integrated_finance_accounting_solutions_ifas_information_system_security_officer_4334718780__overview__002,integrated_finance_accounting_solutions_ifas_information_system_security_officer_4334718780,Integrated Finance Accounting Solutions Ifas Information System Security Officer,Integrated Finance Accounting Solutions Ifas,Information System Security Officer,,overview,,new IA developments and applications
integrated_finance_accounting_solutions_ifas_information_system_security_officer_4334718780__overview__003,integrated_finance_accounting_solutions_ifas_information_system_security_officer_4334718780,Integrated Finance Accounting Solutions Ifas Information System Security Officer,Integrated Finance Accounting Solutions Ifas,Information System Security Officer,,overview,,emerging technologies and their applications to business processes
integrated_finance_accounting_solutions_ifas_information_system_security_officer_4334718780__overview__004,integrated_finance_accounting_solutions_ifas_information_system_security_officer_4334718780,Integrated Finance Accounting Solutions Ifas Information System Security Officer,Integrated Finance Accounting Solutions Ifas,Information System Security Officer,,overview,,"IT security concepts, standards, and methods"
integrated_finance_accounting_solutions_ifas_information_system_security_officer_4334718780__overview__005,integrated_finance_accounting_solutions_ifas_information_system_security_officer_4334718780,Integrated Finance Accounting Solutions Ifas Information System Security Officer,Integrated Finance Accounting Solutions Ifas,Information System Security Officer,,overview,,project management principles and methods.
integrated_finance_accounting_solutions_ifas_information_system_security_officer_4334718780__requirement__006,integrated_finance_accounting_solutions_ifas_information_system_security_officer_4334718780,Integrated Finance Accounting Solutions Ifas Information System Security Officer,Integrated Finance Accounting Solutions Ifas,Information System Security Officer,,requirement,,"Four-year degree in computer science, business, or closely related area."
integrated_finance_accounting_solutions_ifas_information_system_security_officer_4334718780__requirement__007,integrated_finance_accounting_solutions_ifas_information_system_security_officer_4334718780,Integrated Finance Accounting Solutions Ifas Information System Security Officer,Integrated Finance Accounting Solutions Ifas,Information System Security Officer,,requirement,,"Technical certification in computer systems security and a minimum of 5 years? experience in intrusion detection, vulnerability assessments, and network diagnostics."
integrated_finance_accounting_solutions_ifas_information_system_security_officer_4334718780__requirement__008,integrated_finance_accounting_solutions_ifas_information_system_security_officer_4334718780,Integrated Finance Accounting Solutions Ifas Information System Security Officer,Integrated Finance Accounting Solutions Ifas,Information System Security Officer,,requirement,,Experience with DoS computer security policies and guidelines.
integrated_finance_accounting_solutions_ifas_information_system_security_officer_4334718780__requirement__009,integrated_finance_accounting_solutions_ifas_information_system_security_officer_4334718780,Integrated Finance Accounting Solutions Ifas Information System Security Officer,Integrated Finance Accounting Solutions Ifas,Information System Security Officer,,requirement,,Security+ certification is required
integrated_finance_accounting_solutions_ifas_information_system_security_officer_4334718780__preferred__010,integrated_finance_accounting_solutions_ifas_information_system_security_officer_4334718780,Integrated Finance Accounting Solutions Ifas Information System Security Officer,Integrated Finance Accounting Solutions Ifas,Information System Security Officer,,preferred,,CompTIA+ certification is preferred.
